Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
586852,The Wall,Marlen Haushofer,"Haushofer, Marlen",Shaun Whiteside,"=""1573440949""","=""9781573440943""",0,4.00,Cleis Press,Paperback,240,1999,1963,,2024/10/02,to-read,to-read (#70),to-read,,,,0,0
50887097,"Why Fish Don’t Exist: A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller,"Miller, Lulu",,"=""""","=""""",0,4.13,Simon & Schuster,Hardcover,225,2020,2020,,2022/04/05,to-read,to-read (#28),to-read,,,,0,0
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",0,4.30,Houghton Mifflin,Paperback,366,2002,1937,,2021/06/23,to-read,to-read (#29),to-read,,,,0,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",0,4.29,Ace,Hardcover,658,2019,1965,,2021/06/14,to-read,to-read (#30),to-read,,,,0,0
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""0571268862""","=""9780571268863""",0,4.05,Harper Perennial Modern Classics,Paperback,294,2006,1963,,2020/07/18,to-read,to-read (#36),to-read,,,,0,0
16878,Arctic Dreams,Barry Lopez,"Lopez, Barry",,"=""0375727485""","=""9780375727481""",0,4.23,Knopf Doubleday Publishing Group,Paperback,464,2001,1986,,2023/01/11,to-read,to-read (#45),to-read,,,,0,0
14250,"Pigs in Heaven (Greer Family, #2)",Barbara Kingsolver,"Kingsolver, Barbara",,"=""0571171788""","=""9780571171781""",5,4.02,Faber and Faber,Paperback,343,1994,1993,2024/07/13,2024/06/28,,,read,,,,2,0
40383078,The Tibetan Book of Living and Dying,Sogyal Rinpoche,"Rinpoche, Sogyal",,"=""""","=""""",0,4.21,HarperOne,ebook,425,2009,1992,,2022/06/11,to-read,to-read (#69),to-read,,,,1,0
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""0805095152""","=""9780805095159""",0,4.49,Metropolitan Books,Hardcover,282,2014,2014,,2022/09/06,to-read,to-read (#37),to-read,,,,0,0
17934530,"Annihilation (Southern Reach, #1)",Jeff Vandermeer,"Vandermeer, Jeff",,"=""0374104093""","=""9780374104092""",0,3.80,"Farrar, Straus and Giroux",Paperback,195,2014,2014,,2024/07/17,to-read,to-read (#68),to-read,,,,0,0
41736961,Where I End and You Begin,Preston Norton,"Norton, Preston",,"=""148479835X""","=""9781484798355""",4,3.92,Disney-Hyperion,Hardcover,304,2019,2019,,2024/05/19,,,read,,,,1,0
58800142,"Astrid Parker Doesn't Fail (Bright Falls, #2)",Ashley Herring Blake,"Blake, Ashley Herring",,"=""""","=""""",3,4.02,Berkley,Kindle Edition,400,2022,2022,,2024/05/09,,,read,,,,1,0
54756850,"Delilah Green Doesn't Care (Bright Falls, #1)",Ashley Herring Blake,"Blake, Ashley Herring",,"=""0593336402""","=""9780593336403""",3,4.05,Berkley,Paperback,375,2022,2022,2024/04/29,2024/04/30,,,read,,,,1,0
27485,Mating in Captivity: Reconciling the Erotic and the Domestic,Esther Perel,"Perel, Esther",,"=""0060753633""","=""9780060753634""",0,4.17,Harper,Hardcover,220,2006,2006,,2023/11/11,to-read,to-read (#67),to-read,,,,1,0
52190991,"Any Way the Wind Blows (Simon Snow, #3)",Rainbow Rowell,"Rowell, Rainbow",,"=""1250254337""","=""9781250254337""",3,4.10,Wednesday Books,Hardcover,579,2021,2021,2024/04/12,2024/04/17,,,read,,,,1,0
44017627,"Wayward Son (Simon Snow, #2)",Rainbow Rowell,"Rowell, Rainbow",,"=""1250146070""","=""9781250146076""",3,3.89,Wednesday Books,Hardcover,356,2019,2019,2024/04/01,2024/04/01,,,read,,,,1,0
32768522,"Carry On (Simon Snow, #1)",Rainbow Rowell,"Rowell, Rainbow",,"=""1250135028""","=""9781250135025""",4,4.16,Wednesday Books,Paperback,528,2017,2015,2024/03/27,2024/03/27,,,read,,,,1,0
